protocol,method,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw,train_s
P0,deepdtf,0,0.0909,0.829,0.6851,,0.9015,0.2786,901
P0,delfos,0,0.0829,0.8595,0.7376,,0.9018,0.2499,266
P0,deepdtf,1,0.0919,0.8285,0.6779,,0.8996,0.2809,772
P0,delfos,1,0.0825,0.8607,0.7401,,0.9,0.2461,297
P0,deepdtf,2,0.0915,0.8308,0.6806,,0.9009,0.2807,1038
P0,delfos,2,0.0828,0.8598,0.7385,,0.9016,0.2476,306
P0,deepdtf,3,0.0914,0.8262,0.6817,,0.9013,0.2786,548
P0,delfos,3,0.0836,0.857,0.7332,,0.9011,0.2485,206
P0,deepdtf,4,0.0924,0.8253,0.6745,,0.9016,0.2827,397
P0,delfos,4,0.083,0.8594,0.7369,,0.8999,0.2475,107
