protocol,method,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw,train_s
P2,bandrp,0,0.1604,0.5452,0.2422,,0.8742,0.4045,62
P2,attn,0,0.1653,0.5028,0.1945,,0.8628,0.3928,29
P2,mmcl,0,0.167,0.4699,0.178,,0.8688,0.41,82
P2,clclsa,0,0.1687,0.4577,0.1618,,0.8772,0.4254,95
P2,mlp,0,0.1633,0.5411,0.2145,,0.8603,0.3959,21
P2,evi,0,0.1693,0.5127,0.1555,0.2713,0.878,0.4445,27
P2,evi2,0,0.1546,0.5863,0.2959,0.2252,0.8602,0.3831,98
P2,bandrp,1,0.1665,0.4775,0.1837,,0.8682,0.3854,38
P2,attn,1,0.17,0.452,0.1488,,0.8569,0.3876,17
P2,mmcl,1,0.1625,0.4951,0.2219,,0.8692,0.3946,112
P2,clclsa,1,0.1679,0.4949,0.1696,,0.8732,0.4174,96
P2,mlp,1,0.1638,0.503,0.2094,,0.8664,0.3953,27
P2,evi,1,0.174,0.4663,0.1078,0.2697,0.8668,0.4325,30
P2,evi2,1,0.1618,0.5447,0.2288,0.2221,0.8448,0.3551,136
P2,bandrp,2,0.1628,0.5085,0.2192,,0.8683,0.3927,35
P2,attn,2,0.1653,0.4888,0.1949,,0.8661,0.3904,20
P2,mmcl,2,0.1629,0.5015,0.2186,,0.8694,0.4024,107
P2,clclsa,2,0.1667,0.4949,0.1812,,0.8785,0.4338,81
P2,mlp,2,0.1705,0.4696,0.1436,,0.8503,0.385,26
P2,evi,2,0.1718,0.4816,0.1303,0.2613,0.8663,0.4113,28
P2,evi2,2,0.16,0.5692,0.2459,0.1917,0.8623,0.4136,143
P2,bandrp,3,0.1689,0.4791,0.1592,,0.8677,0.4144,41
P2,attn,3,0.1646,0.4943,0.2014,,0.8726,0.3965,28
P2,mmcl,3,0.1677,0.4476,0.1712,,0.8627,0.3966,133
P2,clclsa,3,0.1668,0.4694,0.1799,,0.8774,0.4319,146
P2,mlp,3,0.1635,0.5082,0.2125,,0.8607,0.3866,18
P2,evi,3,0.1724,0.4547,0.1241,0.2956,0.8659,0.4142,27
P2,evi2,3,0.1599,0.5744,0.2465,0.0954,0.8777,0.4253,92
P2,bandrp,4,0.1629,0.5015,0.2184,,0.8763,0.4144,38
P2,attn,4,0.1638,0.5043,0.2097,,0.8612,0.3856,23
P2,mmcl,4,0.1687,0.4379,0.1611,,0.8606,0.4005,95
P2,clclsa,4,0.1692,0.4534,0.1565,,0.8652,0.4207,81
P2,mlp,4,0.1655,0.4959,0.1927,,0.8639,0.3895,26
P2,evi,4,0.1693,0.5058,0.1551,0.252,0.8759,0.4681,20
P2,evi2,4,0.1548,0.5876,0.2941,0.22,0.8449,0.3618,196
