protocol,method,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw,train_s
P0,evi2,0,0.0813,0.8653,0.748,0.1331,0.8993,0.2378,635
P0,evi2,1,0.0819,0.8631,0.7442,-0.1301,0.9008,0.2455,366
P0,evi2,2,0.0821,0.862,0.7429,-0.172,0.8997,0.2464,179
P0,evi2,3,0.0824,0.8608,0.7408,0.1869,0.8999,0.2397,165
P0,evi2,4,0.0815,0.8646,0.7467,-0.0472,0.8993,0.2415,178
