method,protocol,rmse,rmse_sd,pearson,pearson_sd,r2,r2_sd,spearman_unc_err,picp,mpiw
ens,P0,0.08049999999999999,0.00020000000000000397,0.8681000000000001,0.0007211102550928108,0.75284,0.001059716943339117,0.32886,0.89772,0.29852
mc,P0,0.08246,0.0004615192303685714,0.8609199999999999,0.0014923136399564438,0.74052,0.0029046514420838746,0.30532,0.8970600000000001,0.25976
