method,params,forward_passes,sec_full_te,ms_per_1000
evi2,133509,1,0.14081149999401532,0.0028588845574778763
evi,115524,1,0.07039380000787787,0.0014291996590708952
mc,115329,50,5.859225199994398,0.11895937791843095
ens,576645,5,0.3633825999859255,0.007377727696957109
