method,protocol,rmse,rmse_sd,pearson,pearson_sd,r2,r2_sd,spearman_unc_err,picp,mpiw
attn,P0,0.08002000000000001,0.0002774887385102237,0.86952,0.0010425929215182725,0.75576,0.0017386776584519695,,0.8999599999999999,0.23686
bandrp,P0,0.08518,0.0005630275304103749,0.8505800000000001,0.0022353970564533243,0.7231799999999999,0.0036519857611989697,,0.8998200000000001,0.25148000000000004
clclsa,P0,0.09474,0.0006024948132556803,0.8111,0.002604803255526236,0.6576000000000001,0.00423497343557199,,0.90058,0.29003999999999996
evi,P0,0.08732,0.0004549725266430914,0.8445,0.0019287301521986,0.70914,0.0029390474647409326,0.4625,0.89926,0.22782
evi2,P0,0.07746,0.00015165750888103597,0.87842,0.0005630275304103981,0.7712600000000001,0.0009343446901438293,0.373,0.8987400000000001,0.20594
mlp,P0,0.08234,0.00028809720581775934,0.8611000000000001,0.0009643650760993042,0.74138,0.0017064583206161197,,0.9,0.24523999999999999
mmcl,P0,0.08466,0.0003577708763999705,0.85254,0.0013992855319769385,0.72656,0.0024161953563401873,,0.9006399999999999,0.254
