method,protocol,rmse,rmse_sd,pearson,pearson_sd,r2,r2_sd,spearman_unc_err,picp,mpiw
evi2,XD_GDSC2CTRPv2,0.16743216216564177,0.0008513982466772971,0.30684759363210506,0.014726449462040242,0.0012879014015197755,0.01012986708190007,-0.10165724262959759,0.7538334952288441,0.3561908662319183
mlp,XD_GDSC2CTRPv2,0.1686069756746292,0.0008762808311631703,0.27777225167968533,0.011849663914364577,-0.012777423858642578,0.010544834738497532,,0.6443048968630365,0.23431823551654815
