protocol,method,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw,train_s
P2,deepdtf,0,0.1706,0.4413,0.1428,,0.868,0.4085,839
P2,delfos,0,0.1626,0.4966,0.2209,,0.8632,0.3953,263
P2,deepdtf,1,0.1728,0.4645,0.1204,,0.8648,0.4291,756
P2,delfos,1,0.1629,0.5082,0.2182,,0.8813,0.4336,76
P2,deepdtf,2,0.1741,0.4625,0.1073,,0.8684,0.4327,226
P2,delfos,2,0.1636,0.517,0.2114,,0.87,0.4105,262
P2,deepdtf,3,0.1697,0.4785,0.1513,,0.8628,0.4157,891
P2,delfos,3,0.1654,0.4863,0.1938,,0.8667,0.3971,71
P2,deepdtf,4,0.1728,0.4212,0.1198,,0.8686,0.4408,274
P2,delfos,4,0.1658,0.4679,0.1904,,0.8708,0.4147,85
