protocol,method,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw,train_s
P0,bandrp,0,0.085,0.8513,0.7245,,0.9003,0.252,86
P0,attn,0,0.0802,0.8686,0.7544,,0.9006,0.2388,60
P0,mmcl,0,0.0849,0.8514,0.7249,,0.9014,0.2563,229
P0,clclsa,0,0.0951,0.8096,0.6553,,0.9,0.292,253
P0,mlp,0,0.0826,0.8602,0.7398,,0.9,0.2467,62
P0,evi,0,0.0869,0.8464,0.712,0.4815,0.8994,0.2252,69
P0,evi2,0,0.0775,0.8784,0.7709,0.3802,0.8984,0.207,215
P0,bandrp,1,0.0844,0.8537,0.7282,,0.9006,0.2503,75
P0,attn,1,0.0803,0.8687,0.7543,,0.9003,0.2397,65
P0,mmcl,1,0.0841,0.8547,0.7303,,0.9002,0.2527,225
P0,clclsa,1,0.0956,0.8073,0.6514,,0.9014,0.2942,251
P0,mlp,1,0.0823,0.8612,0.7416,,0.8997,0.2443,62
P0,evi,1,0.0877,0.8427,0.7068,0.4929,0.8986,0.2273,68
P0,evi2,1,0.0773,0.879,0.7724,0.38,0.898,0.2057,215
P0,bandrp,2,0.0855,0.8492,0.7211,,0.8986,0.2508,50
P0,attn,2,0.0799,0.8702,0.7566,,0.8989,0.2349,63
P0,mmcl,2,0.0845,0.8532,0.7277,,0.9008,0.2531,226
P0,clclsa,2,0.0944,0.8126,0.66,,0.9002,0.2872,257
P0,mlp,2,0.0819,0.8626,0.744,,0.8994,0.2441,62
P0,evi,2,0.0874,0.8446,0.7085,0.465,0.8996,0.2276,70
P0,evi2,2,0.0777,0.8775,0.7699,0.3776,0.8983,0.205,219
P0,bandrp,3,0.0859,0.8478,0.7185,,0.9002,0.2541,49
P0,attn,3,0.0801,0.8691,0.7551,,0.8993,0.2361,62
P0,mmcl,3,0.0849,0.8518,0.7247,,0.9007,0.2542,223
P0,clclsa,3,0.0941,0.8137,0.662,,0.9005,0.2879,250
P0,mlp,3,0.0826,0.8603,0.7399,,0.9011,0.246,61
P0,evi,3,0.0878,0.8424,0.706,0.3993,0.8991,0.2323,67
P0,evi2,3,0.0774,0.8785,0.7717,0.3636,0.8991,0.2069,210
P0,bandrp,4,0.0851,0.8509,0.7236,,0.8994,0.2502,74
P0,attn,4,0.0796,0.871,0.7584,,0.9007,0.2348,63
P0,mmcl,4,0.0849,0.8516,0.7252,,0.9001,0.2537,225
P0,clclsa,4,0.0945,0.8123,0.6593,,0.9008,0.2889,250
P0,mlp,4,0.0823,0.8612,0.7416,,0.8998,0.2451,58
P0,evi,4,0.0868,0.8464,0.7124,0.4738,0.8996,0.2267,68
P0,evi2,4,0.0774,0.8787,0.7714,0.3636,0.8999,0.2051,218
