method,protocol,rmse,rmse_sd,pearson,pearson_sd,r2,r2_sd,spearman_unc_err,picp,mpiw
deepdtf,P0,0.09162,0.0005630275304103715,0.82796,0.0022142718893577583,0.67996,0.003997249054037061,,0.90098,0.2803
delfos,P0,0.08296,0.0004037325847637262,0.85928,0.0013736811857196396,0.73726,0.0025657357619209326,,0.9008800000000001,0.24792
