protocol,method,seed,rmse,pearson,r2,spearman_unc_err,picp,mpiw,train_s
P2,evi2,0,0.1698,0.4795,0.1504,-0.2265,0.8574,0.4017,114
P2,evi2,1,0.1672,0.4852,0.1762,-0.0007,0.856,0.3874,171
P2,evi2,2,0.1703,0.4803,0.146,-0.0919,0.8519,0.3829,89
P2,evi2,3,0.1673,0.4843,0.1754,0.1492,0.8493,0.3749,123
P2,evi2,4,0.1689,0.4873,0.1596,0.0584,0.8544,0.3898,181
