method,protocol,rmse,rmse_sd,pearson,pearson_sd,r2,r2_sd,spearman_unc_err,picp,mpiw
attn,P2,0.1658,0.002427962108435804,0.48844000000000004,0.02133126812920414,0.18986,0.023767898518800522,,0.86392,0.39058000000000004
bandrp,P2,0.1643,0.0033697180890988605,0.50236,0.027535213817945912,0.20454,0.03284551719793737,,0.87094,0.40228
clclsa,P2,0.16785999999999998,0.0011148990985734998,0.47406,0.0199048486555412,0.1698,0.01087313202347879,,0.8743000000000001,0.42584
evi,P2,0.17136,0.002045238372415299,0.48422,0.024880856094596136,0.13456,0.020639961240273678,0.26998,0.87058,0.43411999999999995
evi2,P2,0.15821999999999997,0.003301817681217423,0.5724400000000001,0.017362113926593196,0.26224,0.030745048381812627,0.19088,0.8579800000000001,0.38778
mlp,P2,0.16532,0.0030235740440743364,0.50356,0.025705310735332505,0.19454,0.029749168055594424,,0.86032,0.39046
mmcl,P2,0.16576,0.0028614681546367112,0.4704,0.02807863956818419,0.19016,0.02814290319068024,,0.86614,0.40082000000000007
