method,protocol,rmse,rmse_sd,pearson,pearson_sd,r2,r2_sd,spearman_unc_err,picp,mpiw
attn,P1,0.0982,0.0005612486080160924,0.7811600000000001,0.0034739027044521607,0.60728,0.004433621544516398,,0.90892,0.31623999999999997
bandrp,P1,0.10336000000000001,0.002777228834647945,0.75652,0.011680196916148298,0.56498,0.023598877091929597,,0.9063000000000001,0.33314
clclsa,P1,0.10347999999999999,0.00025884358211089245,0.75162,0.0009884331034521487,0.56402,0.0020067386476569707,,0.9205399999999999,0.3573
evi,P1,0.09938,0.0006833739825307915,0.7774,0.0029958304357890556,0.59798,0.005272760187985021,0.48938,0.9037,0.27148
evi2,P1,0.09736,0.0009262828941527534,0.7855800000000001,0.004294997089638139,0.6141,0.007458216945088161,0.43654000000000004,0.90732,0.26916
mlp,P1,0.09858,0.0004266145801540298,0.77842,0.002549901958899612,0.60434,0.0035599157293396983,,0.9081400000000001,0.3165
mmcl,P1,0.10202,0.0006833739825307943,0.76018,0.003275209916936574,0.57636,0.005796378179518667,,0.9174,0.34806
